회사명,거래소코드,회계년도,자산총계,부채총계,자본총계,매출액,매출원가,매출총이익,판매비와 관리비,영업이익,당기순이익
(주)네오티스,85910,Dec-16,81259,25115,56144,40162,32563,7599,5564,2036,-1561
(주)네오티스,85910,Dec-17,78550,32448,46102,43473,35646,7827,5434,2393,-7270
(주)네오티스,85910,Dec-18,84261,38866,45395,45195,36699,8496,4983,3513,3000
(주)네오티스,85910,Dec-19,84509,40191,44319,42567,34807,7760,5114,2646,1372
(주)대성파인텍,104040,Dec-02,7433,3897,3536,8553,6315,2238,500,1738,1412
(주)대성파인텍,104040,Dec-03,8656,3632,5024,9448,7601,1848,434,1414,1045
(주)대성파인텍,104040,Dec-04,15300,7970,7329,14032,11406,2627,559,2068,1389
(주)대성파인텍,104040,Dec-05,17852,8830,9022,12297,9792,2505,904,1601,1687
(주)대성파인텍,104040,Dec-06,19685,10249,9435,13958,11298,2660,946,1714,373
(주)대성파인텍,104040,Dec-07,21629,10090,11539,15899,12927,2972,876,2096,1941
(주)대성파인텍,104040,Dec-08,22327,9441,12886,16545,14049,2496,870,1626,1596
(주)대성파인텍,104040,Dec-09,28660,12473,16186,14390,11692,2699,1006,1693,1909
(주)대성파인텍,104040,Dec-10,31998,13856,18142,22959,19330,3629,1362,2267,2143
(주)대성파인텍,104040,Dec-11,39546,17715,21831,31170,24165,7005,2014,4990,3721
(주)대성파인텍,104040,Dec-12,37906,12227,25679,33685,27655,6030,1686,4345,3548
(주)대성파인텍,104040,Dec-13,40042,11731,28311,33645,26810,6835,2139,4697,3144
(주)대성파인텍,104040,Dec-14,50606,18960,31646,37798,31393,6406,2305,4101,3402
(주)대성파인텍,104040,Dec-15,57514,21386,36128,43155,34310,8846,3349,5497,4184
(주)대성파인텍,104040,Dec-16,66425,24586,41839,46924,38391,8533,3501,5032,4100
(주)대성파인텍,104040,Dec-17,86422,37492,48930,42539,33915,8624,5231,3393,2282
(주)대성파인텍,104040,Dec-18,91550,39906,51644,38588,32568,6020,5262,758,2853
(주)대성파인텍,104040,Dec-19,90443,38599,51844,37498,32728,4770,4427,343,200
(주)대유에이텍,2880,Dec-81,6972,4261,2711,11861,9681,2180,468,1712,814
(주)대유에이텍,2880,Dec-82,8142,4848,3293,12288,10515,1773,558,1215,842
(주)대유에이텍,2880,Dec-83,9011,5549,3463,11700,10287,1413,613,800,327
(주)대유에이텍,2880,Dec-84,8682,5626,3056,11289,10674,615,603,12,-281
(주)대유에이텍,2880,Dec-85,8936,5996,2941,12519,11450,1069,687,382,13
(주)대유에이텍,2880,Dec-86,9950,6918,3032,14915,13009,1906,864,1041,355
(주)대유에이텍,2880,Dec-87,11502,8247,3255,18818,15800,3019,1040,1978,1320
(주)대유에이텍,2880,Dec-88,12969,9723,3246,19396,16924,2472,1054,1418,453
(주)대유에이텍,2880,Dec-89,12513,8991,3523,19805,17041,2764,1287,1477,859
(주)대유에이텍,2880,Dec-90,15832,12007,3825,21196,18495,2701,1173,1529,892
(주)대유에이텍,2880,Dec-91,16524,12350,4175,24899,22041,2859,1406,1453,727
